"STATISTIC","Statistic Label","TLIST(A1)","Year","C02935V03550","Airports in Ireland","C02191V04000","Country","C02354V02832","Direction","C02936V03551","Flight Type","UNIT","VALUE"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","-","All directions","-","All flights","Thousand","8293.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","-","All directions","1","Scheduled","Thousand","8212.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","-","All directions","2","Unscheduled","Thousand","81.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","3","Arrival","-","All flights","Thousand","4157.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","3","Arrival","1","Scheduled","Thousand","4117.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","3","Arrival","2","Unscheduled","Thousand","40.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","4","Departure","-","All flights","Thousand","4136.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","4","Departure","1","Scheduled","Thousand","4095.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","-","All Countries","4","Departure","2","Unscheduled","Thousand","41.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","-","All directions","-","All flights","Thousand","48.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","-","All directions","1","Scheduled","Thousand","48.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","-","All directions","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","3","Arrival","-","All flights","Thousand","24.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","3","Arrival","1","Scheduled","Thousand","24.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","3","Arrival","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","4","Departure","-","All flights","Thousand","24.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","4","Departure","1","Scheduled","Thousand","24.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IE07","Ireland (domestic)","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","-","All directions","-","All flights","Thousand","68.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","-","All directions","1","Scheduled","Thousand","55"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","-","All directions","2","Unscheduled","Thousand","13.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","3","Arrival","-","All flights","Thousand","34.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","3","Arrival","1","Scheduled","Thousand","27.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","3","Arrival","2","Unscheduled","Thousand","7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","4","Departure","-","All flights","Thousand","33.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","4","Departure","1","Scheduled","Thousand","27.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","AT","Austria","4","Departure","2","Unscheduled","Thousand","6.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","-","All directions","-","All flights","Thousand","124.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","-","All directions","1","Scheduled","Thousand","124.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","-","All directions","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","3","Arrival","-","All flights","Thousand","62.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","3","Arrival","1","Scheduled","Thousand","62.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","4","Departure","-","All flights","Thousand","62.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","4","Departure","1","Scheduled","Thousand","62.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BE","Belgium","4","Departure","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","-","All directions","-","All flights","Thousand","32"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","-","All directions","1","Scheduled","Thousand","31.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","-","All directions","2","Unscheduled","Thousand","0.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","3","Arrival","-","All flights","Thousand","16.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","3","Arrival","1","Scheduled","Thousand","16.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","3","Arrival","2","Unscheduled","Thousand","0.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","4","Departure","-","All flights","Thousand","15.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","4","Departure","1","Scheduled","Thousand","15.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","-","All flights","Thousand","20"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","1","Scheduled","Thousand","20"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","-","All flights","Thousand","9.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","1","Scheduled","Thousand","9.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","-","All flights","Thousand","10.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","1","Scheduled","Thousand","10.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","2","Unscheduled","Thousand","0"
